S  | Repository | Name                              | Version                       | Arch
i  | @System    | libzstd1                          | 1.5.5-3.4                     | x86_64
i  | @System    | libzypp                           | 17.31.18-1.2                  | x86_64
i  | @System    | login_defs                        | 4.13-6.4                      | noarch
i+ | @System    | lsb-release                       | 3.2-2.1                       | noarch
i  | @System    | ncurses-utils                     | 6.4.20230715-17.3             | x86_64
i+ | @System    | netcfg                            | 11.6-10.5                     | noarch
i+ | @System    | openssl                           | 3.1.2-1.3                     | noarch
i  | @System    | openssl-3                         | 3.1.2-1.3                     | x86_64
i+ | @System    | openSUSE-build-key                | 1.0-48.1                      | x86_64
i+ | @System    | openSUSE-release                  | 20230814-2450.1               | x86_64
i+ | @System    | openSUSE-release-appliance-docker | 20230814-2450.1               | x86_64
i  | @System    | p11-kit                           | 0.24.1-2.4                    | x86_64
i  | @System    | p11-kit-tools                     | 0.24.1-2.4                    | x86_64
i  | @System    | pam                               | 1.5.3-2.3                     | x86_64
i+ | @System    | patterns-base-fips                | 20200505-41.1                 | x86_64
i  | @System    | permissions                       | 1699_20230602-1.6             | x86_64
i  | @System    | permissions-config                | 1699_20230602-1.6             | noarch
i  | @System    | pinentry                          | 1.2.1-3.2                     | x86_64
i  | @System    | procps                            | 3.3.17-12.4                   | x86_64
i  | @System    | rpm                               | 4.18.0-6.1                    | x86_64
i  | @System    | rpm-config-SUSE                   | 20230712-1.1                  | noarch
i  | @System    | sed                               | 4.9-2.4                       | x86_64
i  | @System    | shadow                            | 4.13-6.4                      | x86_64
i  | @System    | system-group-hardware             | 20170617-24.15                | noarch
i  | @System    | system-user-root                  | 20190513-2.13                 | noarch
i  | @System    | sysuser-shadow                    | 3.2-1.3                       | noarch
i+ | @System    | tar                               | 1.34-12.2                     | x86_64
i  | @System    | terminfo-base                     | 6.4.20230715-17.3             | x86_64
i+ | @System    | timezone                          | 2023c-1.4                     | x86_64
i  | @System    | util-linux                        | 2.39.1-3.3                    | x86_64
i  | @System    | xz                                | 5.4.4-1.3                     | x86_64
i+ | @System    | zypper                            | 1.14.62-1.2                   | x86_64
